new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,1,2,2,0,0,512,0,31.1458
0,1,2,0,0,0,512,0,31.3186
1,1,2,0,1,0,2048,0,31.7862
1,1,1,0,0,1,2048,0,33.0006
1,1,2,1,0,1,2048,0,33.0064
0,0,2,2,1,0,4096,0,163.2174
1,2,2,2,0,0,1024,1,163.4268
0,2,2,0,1,0,1024,5,164.3172
0,2,2,2,0,1,1024,5,164.4504
0,0,2,1,0,1,2048,0,164.6024
0,2,2,0,1,1,512,9,164.6706
0,2,2,1,0,1,1024,9,164.7082
1,2,2,0,0,0,512,9,165.0278
0,2,1,0,1,0,512,1,165.6704
1,0,2,0,0,1,2048,0,165.7684
1,2,2,1,1,0,2048,9,165.8198
0,0,1,0,1,0,2048,0,166.6926
0,2,2,1,0,0,1024,5,166.7564
1,2,2,2,1,1,1024,9,166.8596
0,2,1,0,0,1,512,1,166.8656
1,2,1,1,0,1,2048,5,337.4748
1,0,2,1,1,0,512,5,337.4748
1,2,1,1,0,0,2048,1,337.4748
1,0,1,2,1,1,4096,0,337.4748
1,1,1,2,0,1,4096,9,337.4748
0,0,1,2,1,0,1024,5,337.4748
1,0,1,1,0,0,1024,9,337.4748
1,0,1,0,1,0,1024,5,337.4748
0,0,1,2,1,1,1024,5,337.4748
0,2,1,2,0,0,2048,0,337.4748
1,1,2,2,1,0,512,5,337.4748
0,2,2,2,1,0,1024,0,337.4748
1,0,1,0,1,1,4096,9,337.4748
1,0,1,2,1,1,4096,5,337.4748
1,2,1,2,0,1,2048,9,337.4748
0,0,2,0,1,1,2048,5,337.4748
0,0,1,0,0,0,2048,9,337.4748
0,0,2,1,0,0,4096,1,337.4748
1,0,2,0,0,1,1024,9,337.4748
1,1,2,2,1,1,4096,5,337.4748
1,1,2,0,0,1,2048,1,337.4748
1,0,2,1,1,1,2048,9,337.4748
1,0,1,2,0,1,4096,5,337.4748
1,0,2,1,0,0,2048,5,337.4748
0,1,1,2,1,1,4096,5,337.4748
0,1,1,2,1,1,1024,0,337.4748
1,1,1,2,1,1,4096,0,337.4748
1,2,1,2,0,1,512,1,337.4748
0,2,2,1,1,1,4096,0,337.4748
0,0,1,2,0,1,512,1,337.4748
0,0,2,1,0,0,4096,9,337.4748
1,2,1,1,1,0,1024,9,337.4748
1,0,2,2,1,0,4096,5,337.4748
1,0,1,0,0,0,2048,9,337.4748
0,2,1,1,1,1,512,1,337.4748
0,2,2,0,1,1,4096,0,337.4748
0,1,2,1,0,1,2048,9,337.4748
1,0,1,2,1,1,512,9,337.4748
0,0,2,1,1,0,1024,1,337.4748
1,0,2,0,1,0,4096,1,337.4748
1,0,1,1,1,0,512,1,337.4748
0,1,2,0,0,0,512,1,337.4748
0,2,1,1,0,0,512,5,337.4748
0,0,1,2,1,0,2048,1,337.4748
0,2,1,2,1,0,1024,0,337.4748
0,0,1,1,0,1,1024,9,337.4748
0,2,1,2,0,0,2048,1,337.4748
1,0,2,1,1,1,2048,9,337.4748
1,2,2,1,1,0,1024,0,337.4748
0,2,1,2,0,1,512,5,337.4748
0,2,1,0,0,0,512,0,337.4748
1,1,2,0,1,0,2048,5,337.4748
1,1,2,2,1,1,1024,9,337.4748
1,0,1,1,1,1,4096,1,337.4748
0,1,1,2,1,0,1024,9,337.4748
0,0,2,1,1,0,2048,5,337.4748
0,2,1,1,0,0,1024,5,337.4748
1,2,1,1,1,0,2048,1,337.4748
1,2,1,1,0,0,2048,9,337.4748
1,1,1,0,1,0,1024,9,337.4748
1,0,2,0,1,0,1024,5,337.4748
1,2,1,1,1,0,2048,9,337.4748
0,0,1,0,1,1,1024,9,337.4748
1,0,2,1,1,1,2048,1,337.4748
0,2,2,2,1,1,2048,0,337.4748
1,1,1,0,0,1,2048,5,337.4748
0,2,1,1,0,0,4096,1,337.4748
0,1,1,0,0,1,2048,9,337.4748
1,0,2,0,0,0,512,1,337.4748
1,2,1,2,0,1,4096,0,337.4748
1,2,1,1,1,0,1024,0,337.4748
0,1,2,1,1,0,2048,9,337.4748
1,0,1,2,1,0,2048,5,337.4748
1,1,1,2,1,0,512,5,337.4748
0,0,2,0,1,0,512,5,337.4748
0,1,2,2,1,1,512,5,337.4748
0,1,1,2,1,0,4096,9,337.4748
0,1,1,2,1,1,2048,9,337.4748
0,1,2,2,1,0,512,5,337.4748
1,2,1,2,0,0,4096,0,337.4748
