ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,60179.8
0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,61185.0
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,62809.8
1,1,0,0,1,0,0,1,1,0,1,0,1,0,0,0,63172.0
0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,63740.8
1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,64671.6
1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,64683.2
1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,65959.6
1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,66008.0
1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,66471.2
1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,66529.2
1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,66837.2
1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,67289.4
1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,67527.6
1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,67597.8
1,1,0,0,1,1,0,0,0,1,1,0,0,1,0,1,67644.6
1,1,0,0,0,1,1,1,0,0,0,1,0,1,0,1,67711.8
0,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0,68053.2
1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,68076.8
1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,68167.6
1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,68618.8
1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,68773.6
1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,69236.4
1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,69424.8
1,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,69773.2
1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,70278.6
0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,70584.0
0,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,70901.8
0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,70944.0
0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,71163.6
0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,72297.8
1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,72702.6
0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,73026.0
0,1,0,0,1,1,1,0,1,0,1,1,1,0,0,1,73369.0
0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,1,73725.8
0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,73773.6
1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,74342.4
1,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,75264.0
1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,75280.2
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,75311.8
0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,75339.4
1,0,0,0,1,0,1,0,1,1,1,0,1,1,0,0,75352.0
1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,75421.8
0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,75557.0
1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,75957.0
1,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,76750.4
0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,76760.8
1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,76778.6
1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,1,77027.0
0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,77157.0
1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,77419.6
0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,77558.8
1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,77814.6
1,0,1,0,1,0,0,0,0,1,1,1,1,0,1,1,78196.2
1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,78452.0
1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,78790.6
1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,79755.2
0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,79949.8
1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,80264.2
1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,80379.4
0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,80448.8
0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,80833.8
1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,80927.2
1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,1,80994.0
0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,81033.0
0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,81089.4
1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,81844.0
0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0,81978.4
0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,82400.4
0,0,0,1,0,1,1,1,1,0,0,1,1,1,0,0,82479.4
1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,82566.6
0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,82593.8
0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,83211.8
0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,83355.4
0,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,83667.8
0,0,0,1,1,0,1,0,0,1,0,0,1,1,1,0,84138.4
1,1,0,1,0,0,1,0,0,0,1,1,1,1,1,1,84429.0
0,0,1,1,1,0,0,1,1,0,1,1,1,1,0,0,84915.2
0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,1,85412.6
1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,85473.8
0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,86313.2
0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0,86531.2
