WindowSize,CompressionLevel,Performance
14,1,1.46
14,0,1.472
13,0,1.514
13,0,1.514
11,1,1.526
12,0,1.528
12,0,1.528
15,0,1.534
24,1,1.57
23,1,1.572
23,1,1.572
24,0,1.574
24,0,1.574
22,1,1.586
21,1,1.598
21,0,1.604
17,0,1.606
17,1,1.612
19,0,1.614
18,1,1.63
20,0,1.63
10,0,1.662
10,1,1.666
14,2,1.9
14,2,1.9
13,2,1.942
12,2,1.988
16,2,2.026
21,2,2.06
21,2,2.06
21,2,2.06
20,2,2.088
20,2,2.088
20,2,2.088
19,2,2.1
19,2,2.1
17,2,2.102
14,3,2.302
14,3,2.302
13,3,2.37
16,3,2.508
16,3,2.508
20,3,2.546
24,4,2.708
22,4,2.748
16,4,2.77
19,4,2.8
20,4,2.808
20,4,2.808
17,4,2.848
17,4,2.848
14,4,2.894
13,4,2.972
11,6,3.57
13,6,4.3
15,5,5.072
15,6,5.306
16,5,5.392
16,6,5.77
14,7,5.896
14,7,5.896
14,8,6.086
11,9,6.286
18,5,6.714
23,5,7.178
18,6,7.51
16,9,9.094
24,6,10.176
23,6,10.22
23,6,10.22
21,6,10.46
20,6,10.658
18,9,11.954
18,9,11.954
20,8,14.64
21,8,18.874
22,7,19.626
24,7,20.228
23,7,20.474
23,9,63.68
24,9,108.602
20,11,246.08
20,11,246.08
19,10,258.558
19,10,258.558
16,11,284.296
16,11,284.296
15,10,291.618
15,11,292.192
13,10,313.652
13,10,313.652
13,11,315.078
23,11,315.238
12,11,328.552
11,11,343.996
11,11,343.996
11,11,343.996
10,11,363.346
10,10,363.364
24,10,392.744
