topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,Performance
2,1,2,1000000,1,0,1,1000,512,10000,5,0,0.0
4,10,2,1000000,1,1,1000,1000,1024,10000,5,29,1.49793761226e-05
2,10,2,1000000,1,0,1000,10,512,100,2,29,0.000168858421746
2,10,2,1000000,1,0,1000,1000,1024,10000,2,29,0.000284608146329
4,10,2,1000000,10,1,1,10,512,100,5,29,0.000385378494791
4,1,4,1000000,1,0,1,1000,1024,10000,5,29,0.000783012842772
4,10,2,1000000,1,0,1,10,1024,100,5,29,0.000823865686743
2,1,4,1000000,1,0,1,10,512,100,5,29,0.000829312732606
4,10,4,1000000,1,1,1,10,1024,100,5,29,0.000864718530714
2,10,2,1000000,1,1,1,1000,512,10000,5,29,0.000984553539695
2,10,2,1000000,1,1,1,10,1024,100,5,29,0.00102540638367
4,1,4,1000000,1,0,1,10,512,100,2,29,0.0020004275931
2,10,2,1000000,1,0,1,1000,512,10000,2,0,0.00244163830798
2,10,4,1000000,1,1,1,10,1024,100,2,0,0.00250155581247
4,10,2,1000000,1,1,1,10,512,100,2,29,0.00292642538977
4,1,2,1000000,1,0,1,10,1024,100,2,29,0.00333495382948
4,1,2,1000000,10,1,1,1000,512,10000,2,29,0.00504124094599
4,1,4,1000000,10,0,1,1000,1024,10000,2,29,0.0058147214585
4,1,2,10,1,1,1,10,512,100,5,0,0.0146048917195
2,10,2,10,1,1,1,10,512,100,5,0,0.014746514912
2,10,4,10,1,0,1,1000,512,10000,2,0,0.0148309441228
2,1,4,10,1,0,1,1000,512,10000,5,29,0.0148486470219
2,10,2,10,1,1,1,10,1024,100,2,0,0.0148717969668
4,1,4,10,10,1,1,10,512,100,5,29,0.0823143953166
4,1,2,10,10,0,1,1000,512,10000,5,29,0.087795485216
2,1,4,10,10,1,1,10,1024,100,5,29,0.138862901941
2,1,4,10,10,1,1,10,1024,100,5,29,0.138862901941
4,10,4,10,10,0,1,1000,1024,10000,2,0,0.142342202486
2,10,4,10,10,1,1,1000,1024,10000,2,29,0.148709799099
2,1,2,10,10,0,1,10,1024,100,2,29,0.149084283502
2,1,2,10,10,0,1,1000,512,10000,2,0,0.149115604016
4,10,2,10,10,1,1000,1000,512,10000,5,0,0.195358299868
4,10,2,10,1,0,1000,10,512,100,5,29,0.199641039678
2,10,2,10,10,1,1000,1000,512,10000,5,29,0.280537841308
2,10,2,10,1,1,1000,1000,1024,10000,5,29,0.281327662959
2,1,2,10,10,0,1000,10,1024,100,5,29,0.332463167757
2,1,4,10,1,0,1000,10,512,100,5,29,0.369392776945
2,1,4,10,1,0,1000,1000,1024,10000,5,29,0.383363087821
4,1,4,10,10,0,1000,10,1024,100,2,0,0.477584725394
4,10,2,10,1,1,1000,1000,1024,10000,2,29,0.617667765608
2,10,4,10,10,0,1000,1000,512,10000,2,29,0.74351495146
2,1,4,10,10,1,1000,10,1024,100,2,0,0.760871963102
2,1,4,10,10,1,1000,10,512,100,2,0,0.781535331582
2,10,2,10,10,0,1000,10,512,100,2,29,0.803372538446
2,1,2,10,1,0,1000,10,1024,100,2,0,0.847511312833
2,1,4,10,1,0,1000,10,1024,100,2,0,0.945086968896
4,1,2,1000000,1,1,1,10,1024,10000,5,0,2.0
2,1,2,10,10,0,1000,10,512,10000,5,0,2.0
