new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,1,1,1,1,0,0,0,0,1,21.694
4,1,1,1,1,1,1,0,1,0,22.168
4,1,2,1,1,1,1,0,1,1,22.664
4,1,2,1,0,0,0,0,0,1,22.878
4,1,3,1,0,0,0,0,0,1,23.61
4,1,3,1,0,0,0,1,1,1,23.704
4,1,2,0,1,1,1,0,1,1,24.016
4,1,2,0,1,0,1,0,1,1,24.478
4,1,2,0,0,0,1,1,1,1,25.382
3,1,1,1,1,1,0,0,1,0,28.674
3,1,1,1,1,1,1,0,0,0,29.174
3,1,1,1,1,0,1,0,1,1,29.188
3,1,1,1,0,0,1,0,0,0,29.912
4,2,2,0,1,1,0,1,1,1,31.662
3,1,2,1,0,1,0,1,1,1,31.712
3,1,2,1,0,1,1,1,0,0,31.848
3,1,3,0,1,1,1,0,1,0,32.298
4,2,3,0,1,1,1,0,1,0,32.75
3,1,3,0,0,0,1,0,0,0,32.938
4,2,1,1,1,0,0,1,0,0,33.762
4,2,3,1,1,0,0,1,0,1,33.89
4,2,2,1,0,1,1,1,0,1,36.598
4,2,3,0,1,1,1,1,0,1,38.302
4,2,1,0,0,0,1,1,0,1,38.314
4,3,3,1,0,0,0,1,1,0,39.576
4,3,2,0,0,0,0,1,1,0,40.782
2,1,3,1,1,1,0,0,0,1,42.72
2,1,2,1,1,0,1,0,1,0,42.836
4,3,2,0,1,1,1,0,1,0,42.996
4,3,2,0,1,0,1,0,1,0,43.098
3,2,1,0,0,1,1,0,1,0,43.474
4,3,2,1,0,1,0,0,0,1,43.546
3,2,1,1,0,0,1,1,1,0,44.06
2,1,2,1,0,1,1,0,1,1,44.094
2,1,3,1,0,0,1,0,0,1,44.56
4,3,3,0,1,0,1,1,1,1,44.752
2,1,2,0,0,1,0,0,1,1,46.054
2,1,2,0,0,0,0,0,0,1,46.142
2,1,3,1,1,0,1,1,0,1,46.192
2,1,3,0,1,0,1,0,1,1,46.298
2,1,3,0,1,0,1,0,1,1,46.298
2,1,1,1,0,0,0,1,1,0,46.578
4,3,1,1,0,0,0,1,0,1,46.684
4,3,3,1,0,0,1,0,0,0,48.636
2,1,2,0,1,1,1,1,1,0,49.316
3,2,1,0,1,1,0,1,0,1,49.436
2,1,3,0,0,0,0,1,1,0,49.77
3,2,2,0,1,0,0,1,0,0,49.952
4,3,2,0,0,1,1,0,0,1,50.476
3,3,3,0,1,0,0,0,1,0,52.232
4,3,1,0,0,0,1,1,0,1,53.136
3,3,3,1,1,1,0,0,0,0,58.846
3,3,2,0,0,0,1,0,1,1,58.894
2,2,3,0,0,1,0,0,1,0,58.894
3,3,2,0,0,1,1,0,1,1,59.064
3,3,3,0,0,0,1,1,1,1,61.62
3,3,1,1,1,1,1,0,0,0,65.988
2,2,1,0,1,0,1,1,1,1,66.174
2,2,2,1,0,0,0,1,0,1,67.808
2,2,1,0,1,1,1,0,0,1,69.046
3,3,2,0,1,0,1,0,0,1,69.52
2,2,3,1,1,0,1,1,0,1,70.636
2,2,3,0,1,0,0,1,0,1,70.93
2,2,2,0,1,1,0,1,0,1,71.19
2,2,1,1,0,0,1,1,0,1,71.352
2,3,1,0,1,1,0,0,1,0,74.416
2,2,3,0,0,0,1,1,0,0,75.166
2,3,3,1,1,0,0,1,1,1,76.81
1,1,1,1,1,1,1,0,0,0,79.414
1,1,1,1,0,1,0,0,1,1,80.704
2,3,3,0,0,0,0,1,1,1,80.826
1,1,2,1,0,1,0,0,1,1,81.248
2,3,3,1,0,0,1,1,1,1,84.936
2,3,2,1,0,1,1,1,1,1,84.948
1,1,3,0,1,0,0,0,1,1,84.95
1,1,1,0,1,1,1,0,1,0,85.196
1,1,3,0,0,1,0,0,1,1,86.65
2,3,1,1,0,0,0,1,0,0,91.43
2,3,1,1,0,1,1,0,0,1,92.83
2,3,1,1,0,1,1,0,0,1,92.83
1,1,3,0,1,0,1,1,1,1,93.876
1,1,1,0,1,1,1,1,0,1,94.132
1,1,2,0,0,0,0,1,0,1,94.612
2,3,2,1,1,1,1,1,0,1,98.686
1,2,3,0,0,1,1,0,1,0,118.026
1,2,1,0,0,1,0,1,1,0,118.988
1,2,1,0,1,0,0,0,0,1,120.6
1,2,2,0,0,0,0,0,0,1,123.106
1,2,2,0,0,1,0,0,0,1,123.802
1,2,1,1,0,0,0,1,0,0,127.462
1,2,2,0,0,1,1,1,0,0,141.49
1,3,1,0,0,1,0,0,1,0,141.752
1,3,3,0,0,0,0,0,1,0,143.02
1,3,3,1,0,1,1,0,1,1,152.176
1,3,1,1,0,1,0,1,0,1,174.34
1,3,1,0,1,1,0,1,0,0,180.946
1,3,3,0,0,1,0,1,0,0,182.774
1,3,2,1,0,1,1,1,0,1,186.254
1,3,1,0,1,1,1,1,0,0,192.712
1,3,3,0,1,1,1,1,0,1,193.792
