new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,performance
5.0,1.0,0.0,1.0,1.0,70.0,256.0,2.0,9140.0
5.0,1.0,1.0,1.0,0.0,40.0,2048.0,2.0,9161.2
5.0,1.0,0.0,1.0,0.0,60.0,1.0,0.0,9174.0
5.0,0.0,0.0,0.0,1.0,70.0,2048.0,2.0,9188.0
5.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,9190.4
5.0,1.0,0.0,1.0,1.0,70.0,256.0,2.0,9140.0
5.0,1.0,1.0,1.0,0.0,40.0,2048.0,2.0,9161.2
5.0,1.0,0.0,1.0,0.0,60.0,1.0,0.0,9174.0
5.0,0.0,0.0,0.0,1.0,70.0,2048.0,2.0,9188.0
5.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,9190.4
5.0,1.0,0.0,1.0,1.0,60.0,2048.0,2.0,9213.6
4.0,1.0,0.0,0.0,0.0,10.0,16.0,0.0,9299.8
4.0,1.0,0.0,0.0,0.0,90.0,4.0,2.0,9357.2
3.0,0.0,0.0,1.0,1.0,30.0,16.0,6.0,10967.0
2.0,1.0,1.0,0.0,1.0,50.0,1.0,0.0,11176.8
3.0,1.0,1.0,1.0,0.0,100.0,16.0,6.0,11214.8
1.0,0.0,0.0,1.0,0.0,80.0,32.0,4.0,11844.4
3.0,0.0,1.0,1.0,0.0,60.0,1024.0,0.0,12050.0
3.0,0.0,0.0,1.0,0.0,80.0,8.0,6.0,12168.6
3.0,0.0,0.0,0.0,0.0,20.0,4096.0,2.0,12185.4
3.0,0.0,1.0,1.0,0.0,60.0,2.0,4.0,13063.4
3.0,0.0,1.0,1.0,0.0,30.0,2.0,2.0,13106.2
3.0,0.0,0.0,1.0,1.0,30.0,4.0,4.0,13159.2
3.0,1.0,0.0,1.0,1.0,30.0,4.0,6.0,13609.2
3.0,1.0,0.0,1.0,1.0,50.0,1.0,0.0,14486.2
1.0,0.0,0.0,0.0,0.0,20.0,8.0,2.0,17642.6
1.0,0.0,1.0,0.0,1.0,40.0,4.0,0.0,17659.8
1.0,1.0,1.0,1.0,1.0,20.0,4096.0,2.0,17663.8
2.0,1.0,0.0,1.0,1.0,50.0,2048.0,0.0,17670.4
1.0,0.0,0.0,0.0,0.0,40.0,512.0,2.0,17672.8
2.0,0.0,0.0,1.0,0.0,40.0,16.0,0.0,17706.4
1.0,1.0,1.0,0.0,0.0,50.0,4.0,2.0,17749.4
4.0,0.0,1.0,1.0,0.0,10.0,512.0,0.0,35483.4
4.0,1.0,1.0,1.0,0.0,70.0,512.0,2.0,35857.8
3.0,1.0,1.0,0.0,1.0,100.0,2.0,8.0,39165.6
5.0,1.0,0.0,1.0,0.0,20.0,8.0,6.0,47503.8
5.0,0.0,0.0,1.0,1.0,90.0,4.0,6.0,47591.0
3.0,1.0,0.0,0.0,0.0,0.0,8.0,10.0,48048.2
4.0,1.0,1.0,1.0,1.0,40.0,256.0,6.0,49290.6
4.0,1.0,1.0,1.0,0.0,70.0,64.0,6.0,49439.2
2.0,1.0,1.0,0.0,0.0,50.0,2.0,6.0,73522.4
2.0,1.0,1.0,0.0,0.0,20.0,4.0,10.0,81070.6
2.0,0.0,1.0,0.0,0.0,30.0,1.0,8.0,83045.8
1.0,1.0,1.0,0.0,0.0,0.0,1024.0,10.0,85350.6
1.0,0.0,0.0,1.0,1.0,80.0,4096.0,6.0,90825.0
1.0,1.0,1.0,1.0,1.0,30.0,1024.0,6.0,91675.6
1.0,0.0,0.0,1.0,1.0,30.0,16.0,6.0,93450.4
1.0,1.0,0.0,0.0,0.0,90.0,2048.0,8.0,100853.8
2.0,0.0,1.0,1.0,0.0,60.0,2048.0,10.0,102594.0
2.0,1.0,0.0,1.0,1.0,70.0,2048.0,8.0,102867.0
1.0,0.0,1.0,1.0,0.0,50.0,32.0,8.0,103764.8
2.0,1.0,0.0,1.0,0.0,90.0,2.0,8.0,117355.4
4.0,1.0,0.0,0.0,1.0,50.0,16.0,10.0,120850.4
5.0,0.0,0.0,1.0,1.0,10.0,512.0,8.0,121459.4
2.0,1.0,1.0,1.0,1.0,0.0,4.0,8.0,131651.2
