new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,performance
0.0,0.0,2.0,2.0,0.0,0.0,512.0,0.0,161.9756
1.0,0.0,2.0,2.0,1.0,0.0,512.0,0.0,164.1874
1.0,2.0,2.0,0.0,0.0,0.0,512.0,1.0,164.3716
1.0,2.0,2.0,0.0,1.0,1.0,2048.0,5.0,165.2798
0.0,2.0,2.0,2.0,1.0,0.0,2048.0,1.0,165.2808
0.0,0.0,2.0,2.0,0.0,0.0,512.0,0.0,161.9756
1.0,0.0,2.0,2.0,1.0,0.0,512.0,0.0,164.1874
1.0,2.0,2.0,0.0,0.0,0.0,512.0,1.0,164.3716
1.0,2.0,2.0,0.0,1.0,1.0,2048.0,5.0,165.2798
0.0,2.0,2.0,2.0,1.0,0.0,2048.0,1.0,165.2808
0.0,2.0,2.0,1.0,0.0,1.0,512.0,9.0,165.396
1.0,2.0,2.0,1.0,0.0,0.0,512.0,1.0,165.4328
1.0,2.0,2.0,1.0,1.0,0.0,1024.0,5.0,165.7048
0.0,2.0,2.0,0.0,1.0,0.0,4096.0,9.0,166.0144
0.0,2.0,1.0,0.0,1.0,0.0,2048.0,5.0,166.5864
1.0,0.0,1.0,0.0,0.0,0.0,512.0,0.0,167.7768
0.0,1.0,1.0,0.0,1.0,0.0,1024.0,5.0,337.4748
0.0,0.0,1.0,0.0,1.0,0.0,1024.0,9.0,337.4748
1.0,2.0,1.0,1.0,1.0,1.0,512.0,5.0,337.4748
1.0,0.0,2.0,0.0,0.0,0.0,2048.0,1.0,337.4748
0.0,1.0,2.0,1.0,1.0,0.0,2048.0,9.0,337.4748
0.0,2.0,2.0,0.0,1.0,0.0,512.0,0.0,337.4748
1.0,1.0,1.0,1.0,1.0,1.0,512.0,5.0,337.4748
0.0,1.0,1.0,0.0,1.0,1.0,1024.0,1.0,337.4748
1.0,1.0,2.0,0.0,0.0,0.0,2048.0,1.0,337.4748
1.0,1.0,1.0,1.0,0.0,0.0,4096.0,1.0,337.4748
1.0,1.0,2.0,0.0,0.0,0.0,4096.0,9.0,337.4748
0.0,1.0,2.0,2.0,1.0,1.0,1024.0,1.0,337.4748
1.0,2.0,1.0,2.0,0.0,1.0,1024.0,9.0,337.4748
0.0,0.0,1.0,1.0,0.0,1.0,512.0,5.0,337.4748
0.0,1.0,2.0,2.0,0.0,1.0,4096.0,5.0,337.4748
0.0,1.0,2.0,0.0,1.0,1.0,1024.0,1.0,337.4748
0.0,2.0,2.0,0.0,1.0,0.0,4096.0,0.0,337.4748
0.0,1.0,2.0,1.0,0.0,1.0,1024.0,9.0,337.4748
0.0,0.0,1.0,2.0,0.0,1.0,2048.0,5.0,337.4748
1.0,1.0,1.0,1.0,0.0,0.0,2048.0,5.0,337.4748
0.0,0.0,1.0,2.0,0.0,0.0,512.0,0.0,337.4748
0.0,2.0,1.0,2.0,1.0,0.0,1024.0,1.0,337.4748
0.0,0.0,2.0,2.0,0.0,0.0,4096.0,1.0,337.4748
0.0,1.0,1.0,1.0,0.0,0.0,2048.0,0.0,337.4748
0.0,0.0,1.0,1.0,1.0,0.0,512.0,9.0,337.4748
1.0,0.0,1.0,2.0,1.0,1.0,4096.0,9.0,337.4748
1.0,2.0,1.0,2.0,0.0,1.0,2048.0,5.0,337.4748
0.0,0.0,2.0,2.0,0.0,0.0,4096.0,9.0,337.4748
1.0,1.0,1.0,0.0,1.0,0.0,1024.0,9.0,337.4748
0.0,1.0,2.0,1.0,1.0,0.0,512.0,5.0,337.4748
0.0,0.0,1.0,1.0,1.0,0.0,512.0,9.0,337.4748
0.0,1.0,1.0,2.0,1.0,0.0,1024.0,0.0,337.4748
1.0,0.0,1.0,2.0,0.0,1.0,2048.0,9.0,337.4748
1.0,2.0,2.0,0.0,1.0,0.0,2048.0,0.0,337.4748
1.0,1.0,1.0,0.0,0.0,0.0,2048.0,9.0,337.4748
0.0,1.0,2.0,0.0,0.0,1.0,4096.0,5.0,337.4748
1.0,1.0,1.0,2.0,1.0,0.0,2048.0,0.0,337.4748
0.0,1.0,2.0,0.0,1.0,1.0,2048.0,9.0,337.4748
1.0,2.0,1.0,1.0,1.0,0.0,512.0,1.0,337.4748
