fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,performance
0.0,1.0,0.0,0.0,0.0,256.0,8.0,4096.0,46102.0
0.0,1.0,0.0,0.0,0.0,256.0,8.0,4096.0,46102.0
0.0,1.0,0.0,0.0,1.0,64.0,2.0,4096.0,46135.0
0.0,1.0,0.0,0.0,1.0,64.0,32.0,1024.0,46172.8
0.0,0.0,1.0,0.0,0.0,128.0,8.0,1024.0,46245.0
0.0,1.0,0.0,0.0,0.0,256.0,8.0,4096.0,46102.0
0.0,1.0,0.0,0.0,0.0,256.0,8.0,4096.0,46102.0
0.0,1.0,0.0,0.0,1.0,64.0,2.0,4096.0,46135.0
0.0,1.0,0.0,0.0,1.0,64.0,32.0,1024.0,46172.8
0.0,0.0,1.0,0.0,0.0,128.0,8.0,1024.0,46245.0
0.0,0.0,1.0,0.0,1.0,256.0,32.0,256.0,46282.0
0.0,0.0,0.0,1.0,1.0,256.0,2.0,4096.0,46327.4
0.0,1.0,0.0,0.0,0.0,128.0,32.0,1024.0,46341.0
0.0,1.0,0.0,0.0,1.0,256.0,8.0,1024.0,46358.2
0.0,1.0,0.0,1.0,0.0,64.0,32.0,4096.0,46404.0
0.0,0.0,0.0,1.0,1.0,128.0,32.0,256.0,46408.2
0.0,0.0,0.0,1.0,1.0,64.0,2.0,1024.0,46426.0
0.0,0.0,0.0,1.0,1.0,256.0,2.0,256.0,46438.2
0.0,1.0,1.0,1.0,1.0,128.0,2.0,256.0,46463.2
0.0,0.0,0.0,1.0,1.0,64.0,2.0,256.0,46471.2
0.0,0.0,0.0,1.0,1.0,64.0,32.0,4096.0,46546.8
0.0,0.0,1.0,1.0,1.0,128.0,32.0,256.0,46567.8
0.0,0.0,1.0,1.0,0.0,256.0,2.0,256.0,46610.2
0.0,0.0,1.0,1.0,0.0,256.0,2.0,4096.0,46625.0
0.0,1.0,1.0,1.0,1.0,128.0,32.0,1024.0,46752.2
0.0,1.0,1.0,1.0,1.0,64.0,2.0,1024.0,46856.0
0.0,1.0,1.0,1.0,1.0,64.0,32.0,1024.0,47233.2
0.0,0.0,1.0,1.0,0.0,128.0,8.0,256.0,47257.2
0.0,0.0,0.0,1.0,0.0,128.0,2.0,4096.0,47528.8
0.0,0.0,0.0,1.0,0.0,128.0,2.0,4096.0,47528.8
1.0,1.0,0.0,0.0,0.0,128.0,8.0,256.0,125404.4
1.0,1.0,0.0,1.0,1.0,256.0,32.0,1024.0,127450.4
1.0,1.0,1.0,0.0,1.0,256.0,8.0,1024.0,128079.8
1.0,1.0,1.0,1.0,0.0,256.0,8.0,4096.0,129630.8
1.0,1.0,1.0,1.0,1.0,128.0,8.0,1024.0,130226.0
1.0,0.0,0.0,1.0,0.0,64.0,32.0,256.0,130240.8
1.0,1.0,0.0,1.0,0.0,128.0,32.0,4096.0,130274.6
1.0,1.0,1.0,0.0,0.0,256.0,32.0,4096.0,131082.0
1.0,1.0,0.0,1.0,0.0,128.0,8.0,256.0,131542.8
1.0,0.0,0.0,0.0,1.0,128.0,2.0,4096.0,132203.6
1.0,1.0,1.0,0.0,1.0,64.0,2.0,1024.0,132269.2
1.0,0.0,0.0,0.0,0.0,256.0,32.0,256.0,132823.0
1.0,1.0,0.0,0.0,1.0,256.0,8.0,1024.0,133251.6
1.0,1.0,0.0,0.0,0.0,128.0,32.0,1024.0,133666.2
1.0,1.0,1.0,0.0,0.0,256.0,8.0,1024.0,133985.0
1.0,0.0,0.0,0.0,0.0,256.0,2.0,1024.0,134031.2
1.0,1.0,0.0,1.0,1.0,64.0,2.0,256.0,134107.4
1.0,1.0,0.0,0.0,1.0,64.0,2.0,256.0,134110.6
1.0,1.0,0.0,1.0,0.0,256.0,32.0,256.0,134325.4
1.0,1.0,0.0,0.0,1.0,64.0,8.0,1024.0,134931.8
1.0,0.0,1.0,1.0,1.0,256.0,2.0,256.0,136546.2
1.0,0.0,1.0,1.0,1.0,128.0,32.0,256.0,137237.2
1.0,0.0,1.0,1.0,1.0,256.0,32.0,4096.0,139169.0
1.0,0.0,1.0,1.0,1.0,128.0,8.0,1024.0,139292.8
1.0,0.0,1.0,0.0,1.0,128.0,2.0,4096.0,139647.8
