WindowSize,CompressionLevel,performance
14.0,1.0,1.46
13.0,1.0,1.514
23.0,0.0,1.556
19.0,1.0,1.604
17.0,1.0,1.612
14.0,1.0,1.46
13.0,1.0,1.514
23.0,0.0,1.556
19.0,1.0,1.604
17.0,1.0,1.612
18.0,0.0,1.628
20.0,1.0,1.636
10.0,1.0,1.666
16.0,2.0,2.026
22.0,2.0,2.05
19.0,2.0,2.1
11.0,3.0,2.476
24.0,3.0,2.478
10.0,3.0,2.616
21.0,4.0,2.768
17.0,4.0,2.848
10.0,6.0,3.386
11.0,5.0,3.49
12.0,5.0,3.746
12.0,5.0,3.746
14.0,5.0,4.678
11.0,8.0,5.042
11.0,8.0,5.042
12.0,8.0,5.318
12.0,8.0,5.318
16.0,5.0,5.392
16.0,5.0,5.392
11.0,9.0,6.286
18.0,5.0,6.714
24.0,5.0,7.154
24.0,5.0,7.154
19.0,5.0,7.372
16.0,8.0,7.548
18.0,7.0,8.628
19.0,6.0,9.336
24.0,6.0,10.176
20.0,6.0,10.658
19.0,8.0,11.508
19.0,9.0,14.048
20.0,8.0,14.64
22.0,7.0,19.626
21.0,9.0,23.614
23.0,9.0,63.68
21.0,11.0,244.72
21.0,10.0,244.734
20.0,10.0,246.512
18.0,10.0,279.698
16.0,11.0,284.296
14.0,11.0,301.078
10.0,11.0,363.346
