topology.workers,component.bolt_num,topology.acker.executors,message.size,component.spout_num,topology.serialized.message.size.metrics,topology.max.spout.pending,storm.messaging.netty.min_wait_ms,topology.transfer.buffer.size,storm.messaging.netty.max_wait_ms,topology.level,topology.priority,<$latency
4.0,1.0,2.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,0.0,1000.0,1000.0,512.0,10000.0,5.0,0.0,0.000133452623638
4.0,10.0,2.0,1000000.0,1.0,0.0,1000.0,10.0,1024.0,100.0,5.0,0.0,0.00015796433002
4.0,10.0,2.0,1000000.0,1.0,0.0,1000.0,10.0,1024.0,100.0,5.0,0.0,0.00015796433002
4.0,10.0,4.0,1000000.0,10.0,1.0,1.0,10.0,512.0,100.0,2.0,29.0,0.000637304365943
4.0,1.0,2.0,1000000.0,10.0,0.0,1.0,1000.0,1024.0,10000.0,5.0,0.0,0.0
2.0,1.0,4.0,1000000.0,1.0,0.0,1000.0,1000.0,512.0,10000.0,5.0,0.0,0.000133452623638
4.0,10.0,2.0,1000000.0,1.0,0.0,1000.0,10.0,1024.0,100.0,5.0,0.0,0.00015796433002
4.0,10.0,2.0,1000000.0,1.0,0.0,1000.0,10.0,1024.0,100.0,5.0,0.0,0.00015796433002
4.0,10.0,4.0,1000000.0,10.0,1.0,1.0,10.0,512.0,100.0,2.0,29.0,0.000637304365943
2.0,1.0,2.0,1000000.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.000761224659321
2.0,1.0,2.0,1000000.0,1.0,1.0,1.0,10.0,512.0,100.0,5.0,0.0,0.000823865686743
4.0,10.0,4.0,1000000.0,1.0,0.0,1.0,10.0,512.0,100.0,5.0,0.0,0.000894677282959
2.0,1.0,4.0,1000000.0,1.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.00137946436475
2.0,1.0,4.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,10000.0,2.0,0.0,0.00138763493354
2.0,10.0,2.0,1000000.0,1.0,1.0,1.0,10.0,512.0,100.0,2.0,29.0,0.00247432058316
2.0,10.0,4.0,1000000.0,1.0,1.0,1.0,1000.0,1024.0,10000.0,2.0,0.0,0.00256964388576
2.0,1.0,2.0,1000000.0,1.0,1.0,1000.0,1000.0,1024.0,10000.0,2.0,0.0,0.00385923199377
4.0,10.0,2.0,10.0,1.0,0.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.0146280416645
4.0,1.0,4.0,10.0,1.0,1.0,1.0,1000.0,512.0,10000.0,5.0,0.0,0.0146634474626
2.0,10.0,4.0,10.0,1.0,0.0,1.0,1000.0,512.0,10000.0,5.0,29.0,0.0147478766734
2.0,10.0,2.0,10.0,1.0,1.0,1.0,1000.0,512.0,10000.0,2.0,0.0,0.014805070655
2.0,1.0,4.0,10.0,10.0,0.0,1.0,10.0,512.0,100.0,5.0,0.0,0.0851386885965
4.0,10.0,4.0,10.0,10.0,1.0,1.0,10.0,512.0,100.0,2.0,29.0,0.144190112795
4.0,1.0,2.0,10.0,10.0,1.0,1.0,1000.0,512.0,10000.0,2.0,29.0,0.14432492718
2.0,10.0,2.0,10.0,10.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,0.148894998659
4.0,1.0,4.0,10.0,10.0,0.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,0.178547354574
4.0,1.0,4.0,10.0,10.0,1.0,1000.0,1000.0,512.0,10000.0,5.0,0.0,0.183367990163
4.0,10.0,4.0,10.0,1.0,0.0,1000.0,1000.0,1024.0,10000.0,5.0,0.0,0.214959494405
4.0,10.0,2.0,10.0,1.0,0.0,1000.0,10.0,1024.0,100.0,2.0,29.0,0.566148244077
2.0,10.0,4.0,10.0,10.0,0.0,1000.0,10.0,512.0,100.0,2.0,0.0,0.719325982545
2.0,1.0,2.0,10.0,1.0,1.0,1000.0,1000.0,1024.0,10000.0,2.0,0.0,0.86631315339
2.0,1.0,2.0,10.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,2.0,0.0,0.867090719187
2.0,1.0,4.0,10.0,1.0,1.0,1000.0,10.0,1024.0,100.0,2.0,0.0,0.987492220938
2.0,10.0,4.0,1000000.0,1.0,0.0,1.0,1000.0,1024.0,100.0,2.0,29.0,2.0
2.0,1.0,4.0,1000000.0,10.0,1.0,1.0,10.0,1024.0,100.0,2.0,29.0,2.0
4.0,1.0,2.0,10.0,10.0,0.0,1.0,1000.0,512.0,100.0,5.0,0.0,2.0
2.0,1.0,2.0,1000000.0,1.0,0.0,1.0,10.0,512.0,100.0,5.0,0.0,2.0
4.0,10.0,4.0,10.0,1.0,1.0,1000.0,10.0,1024.0,10000.0,2.0,0.0,2.0
4.0,1.0,4.0,10.0,10.0,0.0,1.0,1000.0,1024.0,100.0,5.0,29.0,2.0
2.0,10.0,4.0,10.0,1.0,0.0,1000.0,1000.0,1024.0,100.0,5.0,29.0,2.0
2.0,10.0,4.0,1000000.0,1.0,0.0,1.0,1000.0,512.0,100.0,2.0,29.0,2.0
2.0,1.0,2.0,1000000.0,10.0,1.0,1000.0,10.0,512.0,100.0,5.0,29.0,2.0
2.0,10.0,4.0,10.0,10.0,1.0,1.0,1000.0,1024.0,100.0,2.0,29.0,2.0
2.0,1.0,4.0,1000000.0,1.0,0.0,1000.0,1000.0,512.0,10000.0,5.0,29.0,2.0
2.0,10.0,4.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,10000.0,2.0,0.0,2.0
4.0,1.0,4.0,1000000.0,1.0,0.0,1.0,1000.0,1024.0,100.0,2.0,29.0,2.0
4.0,1.0,4.0,1000000.0,1.0,1.0,1000.0,1000.0,512.0,100.0,2.0,0.0,2.0
2.0,10.0,4.0,1000000.0,10.0,0.0,1000.0,1000.0,512.0,10000.0,2.0,29.0,2.0
4.0,1.0,4.0,10.0,10.0,0.0,1.0,1000.0,512.0,100.0,5.0,0.0,2.0
2.0,10.0,4.0,1000000.0,10.0,1.0,1.0,1000.0,1024.0,100.0,5.0,0.0,2.0
4.0,1.0,2.0,1000000.0,1.0,1.0,1000.0,10.0,1024.0,10000.0,2.0,29.0,2.0
4.0,10.0,2.0,10.0,10.0,0.0,1000.0,10.0,1024.0,10000.0,5.0,0.0,2.0
4.0,1.0,4.0,1000000.0,10.0,0.0,1000.0,10.0,512.0,100.0,5.0,0.0,2.0
2.0,1.0,2.0,10.0,1.0,0.0,1000.0,1000.0,1024.0,100.0,5.0,29.0,2.0
