new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,performance
4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,22.19
4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,23.036
4.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,24.194
4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,24.508
4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,25.064
4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,22.19
4.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,23.036
4.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,24.194
4.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,24.508
4.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,25.064
3.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,31.134
4.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,31.92
3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,32.242
3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,32.634
4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.18
3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,37.18
4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,41.0
4.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,41.46
4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,41.46
4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,43.278
4.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,43.698
4.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,44.644
4.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,47.004
4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,47.1
2.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,47.66
2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,49.708
4.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,50.004
3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,50.95
3.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,51.728
4.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,53.128
3.0,2.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,53.66
3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,54.994
3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,56.496
2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,58.894
3.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,61.668
2.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,70.908
1.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,80.45
1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,80.57
2.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,81.296
2.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,83.504
2.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,84.082
1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,86.228
1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,94.554
1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,94.792
1.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,95.482
1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,102.938
1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,117.018
1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,118.068
1.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,124.732
1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,157.852
1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,159.598
1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,164.724
1.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,173.734
1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,183.844
1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,184.508
