new_column,filterOff,HeaderCompressionOff,mtOff,tmOff,Files,BlockSize,x,Performance
3,1,1,0,0,90,64,6,10472.8
4,0,1,1,0,50,256,0,35899.8
5,1,1,0,1,70,8,4,9121.2
4,0,1,0,0,90,64,6,19667.2
4,0,1,0,0,70,512,0,8900.0
4,1,0,1,1,40,16,4,43457.2
1,1,1,1,1,80,128,10,102574.6
2,0,0,0,0,70,128,8,100723.2
3,0,0,0,1,70,4,8,37523.4
2,0,1,1,1,100,32,2,17630.2
4,0,0,0,0,20,64,0,9302.8
3,1,0,1,0,60,1,4,14257.4
4,0,0,0,0,80,8,0,9135.8
5,0,1,0,0,100,4,2,9136.4
2,0,1,0,1,20,32,0,5168.0
1,1,0,1,0,90,64,8,102755.6
2,0,1,1,0,70,32,10,103534.8
5,1,0,1,1,30,1024,4,9187.0
5,0,1,1,0,60,1,2,9112.6
1,1,0,1,0,40,4,6,103605.2
1,0,0,1,1,100,2,2,17687.8
1,0,0,0,1,80,4096,6,89580.4
4,1,1,0,0,80,256,0,8907.4
1,1,0,1,0,70,64,6,90869.8
2,1,1,1,1,60,1024,8,102908.2
4,1,1,1,1,70,8,2,35756.6
5,1,0,0,0,0,512,10,299119.0
2,0,1,1,0,40,64,10,102903.4
5,0,0,0,1,80,64,6,47619.2
4,0,0,0,1,10,128,10,144187.8
1,0,1,0,1,60,256,4,11820.8
4,0,0,1,0,40,1024,4,43461.0
4,0,1,0,0,10,32,10,145260.0
3,0,0,1,0,0,4096,4,15948.6
5,1,1,0,0,70,1,6,47381.4
3,0,1,1,1,60,1024,8,37811.2
5,1,0,0,0,40,32,10,299592.6
5,1,1,0,1,0,4096,0,9248.0
1,0,0,0,0,100,4096,6,89482.0
2,0,1,0,1,70,4,8,80920.8
4,0,0,1,0,30,2,4,43216.0
2,0,0,1,0,80,2048,10,102663.6
1,1,0,1,1,70,16,6,93968.4
5,1,0,0,1,70,32,6,47505.0
5,1,1,1,0,70,32,4,9190.0
5,1,1,0,0,30,2048,8,121302.8
5,0,0,1,0,0,1,10,300167.0
2,0,0,1,0,80,4,4,12455.0
2,0,0,1,0,30,2,2,17739.8
3,0,1,1,0,70,1024,6,10734.0
4,0,0,0,1,70,4096,6,19392.4
5,0,0,1,1,30,1024,10,303342.0
2,0,0,0,1,80,256,0,4692.6
3,0,0,1,0,60,2,8,39395.8
3,0,0,0,1,80,32,4,12184.2
3,1,0,0,1,20,2048,8,38618.4
3,0,1,1,0,100,1024,10,48509.2
2,0,1,0,1,80,8,8,85836.8
4,0,0,1,1,80,128,10,416158.8
3,1,0,0,0,80,1024,6,10682.0
4,0,1,0,0,30,16,6,20911.0
3,0,0,0,0,70,2048,6,10808.8
2,0,1,0,0,0,4096,2,11391.4
1,1,0,0,1,20,64,2,17800.4
2,1,0,0,0,30,256,0,4850.8
2,0,1,1,0,30,16,6,93561.8
1,0,0,1,0,30,8,4,12233.2
3,0,0,1,0,40,128,2,12065.2
4,0,1,1,1,70,1024,10,417051.8
3,0,0,1,0,80,4,8,37492.2
1,0,0,0,0,80,4096,2,17847.6
2,0,0,0,0,0,16,6,82364.8
3,0,0,1,1,40,128,6,10559.2
5,1,1,0,1,40,512,4,9278.6
3,1,0,1,1,40,4096,6,10620.6
2,0,0,0,0,50,128,4,4577.6
4,1,0,1,1,80,16,0,35985.6
5,0,0,0,1,50,8,4,9138.0
5,0,1,1,1,0,8,2,9215.8
1,1,0,0,1,30,128,0,17786.4
2,1,1,0,0,80,256,10,101630.8
2,0,1,0,1,50,512,0,4873.2
5,0,1,1,1,40,512,2,9134.0
1,1,1,1,0,60,2,0,17785.0
4,0,1,0,0,70,32,6,19707.0
1,0,0,1,1,10,128,10,105482.2
2,1,0,1,0,20,16,0,17777.8
5,0,0,0,1,0,512,8,121810.8
4,1,1,1,0,70,32,10,414751.0
2,0,0,0,1,60,1,2,11209.2
5,0,0,1,0,50,512,0,9185.8
2,0,0,0,1,30,4,8,81032.0
2,1,0,1,0,10,2,6,107417.8
5,0,0,0,0,20,1024,2,9148.4
2,1,1,0,0,90,2,6,73510.4
1,1,1,0,1,40,128,0,17696.8
5,1,1,0,0,40,128,2,9145.2
2,1,0,0,0,50,1,0,11233.2
1,0,1,1,0,50,8,10,109366.8
1,1,1,0,1,70,4096,6,88545.4
