new_column4,new_column3,new_column2,new_column,sendfile,basicAuth,maxClients,compressionLevel,Performance
0,2,2,0,1,1,2048,5,165.4042
0,0,1,0,1,1,4096,5,337.4748
1,0,1,0,0,1,1024,1,337.4748
0,2,2,2,1,1,2048,1,165.2686
1,1,2,2,1,1,4096,0,32.0234
1,1,2,2,1,1,1024,5,337.4748
0,0,1,0,0,1,4096,9,337.4748
1,1,2,1,0,1,4096,1,337.4748
1,0,2,1,1,0,4096,0,165.7688
0,2,1,0,0,1,4096,5,165.5558
0,1,1,2,1,0,4096,0,337.4748
1,0,2,0,0,0,1024,5,337.4748
0,0,2,2,0,1,4096,0,164.0186
0,1,2,0,0,0,1024,5,337.4748
1,2,1,1,0,1,4096,1,337.4748
1,1,2,1,0,0,512,5,337.4748
0,2,1,2,1,1,1024,0,337.4748
0,1,2,0,0,0,2048,5,337.4748
1,1,1,1,1,0,512,1,337.4748
1,0,1,0,0,0,1024,9,337.4748
1,1,2,2,1,0,512,5,337.4748
0,1,2,0,1,0,1024,9,337.4748
1,1,1,0,0,1,512,0,32.3174
1,1,1,2,1,0,2048,9,337.4748
0,0,2,0,0,0,512,0,161.8958
0,1,1,0,0,0,1024,1,337.4748
1,2,1,1,1,0,4096,0,337.4748
1,2,1,0,1,0,2048,1,167.2368
0,1,1,1,0,0,512,1,337.4748
0,2,1,0,1,0,1024,9,167.7622
0,0,2,1,1,1,2048,9,337.4748
0,1,1,1,0,0,4096,0,337.4748
1,0,1,2,1,1,512,0,337.4748
1,0,2,0,0,1,1024,5,337.4748
1,1,1,2,0,1,4096,9,337.4748
0,2,1,2,0,1,2048,1,337.4748
0,0,1,0,1,1,512,5,337.4748
0,2,1,2,0,0,1024,1,337.4748
0,0,1,2,1,0,1024,9,337.4748
1,2,1,0,1,0,1024,9,167.6726
0,2,1,1,0,1,4096,9,337.4748
0,1,1,2,0,0,2048,0,337.4748
1,0,1,1,1,1,4096,5,337.4748
0,1,2,0,0,1,512,0,31.1982
1,0,2,0,1,1,2048,0,164.1068
1,0,2,0,0,0,2048,9,337.4748
0,2,2,1,1,0,4096,0,337.4748
1,0,1,0,0,0,4096,5,337.4748
0,0,2,2,0,0,1024,1,337.4748
0,0,1,0,0,1,512,0,166.5286
1,2,2,0,0,1,4096,9,165.6086
0,0,1,1,0,0,2048,1,337.4748
1,1,2,1,1,0,4096,9,337.4748
1,2,2,2,1,0,512,5,163.3106
1,1,1,1,1,0,512,0,337.4748
0,1,1,1,0,1,4096,0,337.4748
1,0,1,1,0,0,4096,5,337.4748
1,0,1,2,0,0,2048,1,337.4748
0,1,1,0,0,1,1024,9,337.4748
0,2,1,1,1,1,2048,9,337.4748
1,0,2,0,1,0,1024,0,164.829
1,1,2,2,1,1,1024,5,337.4748
0,2,1,1,0,1,1024,1,337.4748
0,1,2,2,1,0,2048,0,31.2782
0,2,2,0,1,1,1024,0,337.4748
0,2,2,2,0,1,512,9,165.1012
1,2,2,0,0,0,1024,0,337.4748
1,1,2,2,1,1,512,9,337.4748
0,0,2,1,1,0,2048,9,337.4748
1,1,2,0,1,0,1024,0,31.9844
0,0,1,0,1,0,1024,0,165.4058
1,2,2,0,1,1,2048,5,165.2798
0,1,1,0,1,1,1024,9,337.4748
0,2,1,2,0,0,2048,1,337.4748
0,0,1,0,1,1,2048,1,337.4748
1,0,2,1,1,0,1024,0,167.9786
1,2,1,2,0,1,4096,0,337.4748
1,2,1,1,0,0,512,1,337.4748
1,1,1,1,1,1,512,5,337.4748
0,0,2,0,1,0,1024,0,163.6422
0,0,2,0,0,0,1024,9,337.4748
0,2,1,2,1,0,1024,0,337.4748
0,2,2,0,1,1,4096,0,337.4748
0,1,1,0,0,0,512,9,337.4748
0,0,1,1,1,1,4096,9,337.4748
0,0,1,1,1,1,1024,0,337.4748
1,2,2,0,1,1,2048,0,337.4748
0,2,2,1,1,1,4096,9,165.8732
0,1,2,1,0,0,2048,0,31.6962
0,1,2,1,0,0,1024,5,337.4748
0,1,1,0,1,0,4096,1,337.4748
1,2,1,0,0,1,4096,0,337.4748
0,2,1,1,0,1,4096,9,337.4748
0,2,1,2,0,0,512,9,337.4748
0,2,1,2,1,1,512,0,337.4748
0,2,2,2,0,0,1024,1,165.342
1,1,1,1,1,0,512,9,337.4748
1,2,1,2,0,1,2048,0,337.4748
0,0,2,1,0,1,1024,9,337.4748
1,2,2,1,0,1,4096,9,165.2772
