ee_instrument,simplifycfg,ipsccp,called_value_propagation,basicaa,instcombine,inline,mergereturn,jump_threading,pgo_memop_opt,tailcallelim,licm,sink,gvn,sccp,adce,Performance
1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,77196.8
0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,85668.2
1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,67380.2
0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,78844.8
0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,56855.8
1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,70782.6
0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,93718.4
0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,87177.0
0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,74037.8
0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,0,75446.4
1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,92487.0
0,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,86979.4
0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,1,75094.2
0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,90097.0
0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,87666.6
1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,76029.4
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,76613.2
0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,90037.8
1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,83656.4
0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,84984.6
0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,1,80051.0
0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,94774.0
1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,66815.2
1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,90259.4
0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,80953.6
0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,78487.2
1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,70585.6
0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,82264.8
0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,71338.6
0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,1,71134.6
0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,63452.6
1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,77864.6
0,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,75230.8
0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,82343.8
1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,1,69855.8
0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,63426.4
1,0,1,1,0,0,1,1,0,0,1,1,1,1,0,1,90165.0
1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,76627.4
0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,90654.0
0,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,83182.8
1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,70666.8
0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,98559.2
1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,91454.8
1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,72241.6
1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,85507.8
0,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,79029.8
1,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,87205.8
0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,75053.0
0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,94668.0
1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,91307.0
1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,85537.8
1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,85409.6
0,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,83320.2
0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,76206.0
0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,87104.2
0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,95997.8
0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,0,77444.6
1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,90713.8
0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,1,73917.0
0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,85507.4
0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,84582.0
1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,80318.2
1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,88815.4
1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1,81640.6
1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,93691.6
0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,77519.2
0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,61359.6
0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,71651.2
0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,0,82695.6
0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,95591.0
1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,92125.8
0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,86604.0
0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,87104.2
1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,67006.2
0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,70541.2
0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,1,72524.8
0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,73719.0
0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,67319.2
1,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,77089.0
0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,64658.8
1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,67928.0
0,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,91899.0
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,68231.2
1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,72231.0
0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,79547.8
1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,73103.2
1,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,75160.0
1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,82402.8
1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,66269.2
1,0,0,1,1,1,1,0,0,0,1,1,1,0,0,1,85234.6
0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,94522.8
0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,80521.4
1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,75373.8
1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,87814.8
0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,63514.4
1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,79296.4
0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,100291.8
0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,79011.8
0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,82494.2
1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,72609.2
