fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
1,0,1,1,1,256,32,4096,139169.0
0,1,0,0,0,64,2,4096,46154.0
1,0,0,0,0,64,32,4096,131737.4
1,1,0,1,1,256,32,4096,126458.8
0,0,0,1,1,256,32,1024,46368.4
1,0,1,0,1,64,2,4096,137289.0
0,0,0,1,0,256,32,4096,46898.4
1,1,0,0,1,64,32,256,132894.8
0,1,0,0,0,128,2,4096,46368.8
1,1,1,0,1,256,8,1024,128079.8
1,0,0,1,0,128,8,4096,131102.8
1,0,0,1,1,128,8,4096,133106.0
1,0,0,0,1,64,2,4096,132637.0
0,0,0,1,0,128,2,4096,47528.8
0,0,1,0,1,128,32,256,46260.2
1,1,1,0,0,256,32,256,130642.8
1,1,0,1,1,256,2,1024,130103.4
0,0,0,1,1,256,32,1024,46368.4
0,0,1,0,0,256,32,4096,46148.2
1,1,0,0,0,128,32,256,131583.0
1,1,1,0,1,64,32,256,133542.0
1,1,1,1,0,128,2,256,128216.6
0,1,1,0,1,64,2,4096,46299.4
1,1,0,1,0,64,32,256,133072.4
0,1,1,1,1,128,2,1024,46877.2
0,1,0,1,0,256,2,1024,46350.2
1,0,1,0,1,256,8,1024,134254.2
1,1,1,1,0,64,32,4096,128959.6
1,0,1,1,0,128,2,256,138332.6
1,0,1,0,0,64,32,4096,135630.0
1,0,0,1,0,256,8,256,134239.4
0,0,0,0,0,64,2,256,46272.2
1,0,0,1,0,256,8,1024,132022.4
0,0,1,1,1,128,8,4096,46649.4
0,1,1,0,0,256,32,1024,46047.4
0,1,1,1,1,64,32,256,46707.6
1,0,1,0,1,256,8,1024,134254.2
0,0,1,1,1,64,32,256,46565.6
1,1,0,1,0,64,32,1024,132685.0
1,1,0,1,0,128,8,1024,135017.0
1,0,0,0,0,128,2,1024,131468.0
1,0,0,0,0,128,32,4096,132886.0
0,0,0,0,0,64,32,1024,46298.4
0,1,0,0,1,128,32,1024,46405.0
1,0,0,1,1,256,8,256,135852.4
0,0,1,1,1,128,2,256,46688.4
0,0,1,1,0,128,32,1024,46495.6
0,1,1,0,1,128,2,4096,46615.0
0,0,1,1,1,128,32,4096,46593.6
0,0,0,0,0,64,2,1024,47571.0
0,0,1,0,1,128,2,4096,46359.4
0,1,0,0,1,64,2,1024,46267.8
0,0,1,0,0,64,8,4096,46330.8
1,1,1,0,0,64,32,256,136657.4
0,0,1,1,0,256,32,4096,47278.0
0,1,1,1,0,128,32,4096,46612.8
1,0,0,0,0,64,8,4096,130604.8
1,0,1,0,1,64,2,4096,137289.0
0,1,0,1,0,128,8,4096,46586.4
0,1,0,1,1,64,2,4096,46521.2
1,1,0,1,0,128,32,1024,134356.6
1,0,1,1,1,128,2,4096,140684.8
1,0,1,1,0,64,8,4096,139204.2
0,0,0,1,1,64,2,4096,46482.0
0,0,0,0,1,256,8,256,46100.4
1,0,1,1,0,128,2,1024,140842.0
0,0,0,1,1,64,32,4096,46546.8
1,1,0,1,1,64,32,4096,130741.8
0,1,1,1,1,128,32,1024,46752.2
0,1,0,0,1,64,32,1024,46172.8
0,0,0,0,1,256,2,1024,46354.2
1,1,1,0,0,128,8,256,131126.8
1,0,0,1,1,128,8,256,132351.4
0,1,1,1,1,256,2,256,46692.8
0,0,1,1,0,64,32,1024,46819.6
1,1,0,1,1,256,2,1024,130103.4
1,0,1,1,0,256,2,1024,136959.4
1,0,1,0,1,256,32,1024,134690.4
1,1,1,0,0,128,32,1024,132014.6
1,1,1,1,1,128,2,4096,131763.6
1,0,1,0,0,64,2,256,136890.4
1,1,1,0,0,128,8,4096,128931.4
1,1,1,0,1,128,32,1024,135219.0
0,1,0,0,1,256,32,256,46163.4
0,0,1,1,0,64,8,1024,46966.4
0,1,1,1,0,64,2,256,46507.8
1,1,0,0,0,128,32,4096,134334.8
1,1,0,0,1,64,8,256,134080.8
1,0,1,1,1,64,32,256,139137.0
1,0,1,1,0,64,32,1024,139522.4
1,0,1,0,0,128,32,4096,137057.4
0,0,0,0,0,256,2,1024,46194.6
1,1,1,0,0,256,8,256,131089.2
1,0,1,1,0,64,2,256,140491.6
1,1,0,1,0,64,8,256,133943.0
0,1,1,0,1,256,2,256,46083.6
0,0,0,1,1,128,2,256,46335.6
0,0,0,1,1,256,8,4096,46339.4
0,0,1,0,0,64,32,4096,46191.2
1,1,1,0,0,256,32,4096,131082.0
