fsync,synchronousCommit,fullPageWrites,trackActivities,trackCounts,sharedBuffers,tempBuffers,workMem,Performance
0,1,1,0,1,256,2,4096,46381.4
0,0,0,1,0,64,8,1024,46405.2
1,0,1,1,0,128,8,256,142638.0
1,0,0,0,1,128,32,256,133749.4
1,1,1,0,0,64,32,1024,134439.4
0,0,1,1,1,128,8,1024,46669.0
1,1,0,0,0,64,8,256,134334.0
1,1,1,0,1,128,8,256,128988.8
0,1,1,1,1,64,8,256,46723.2
0,0,1,1,0,128,2,1024,46881.4
1,0,0,0,0,128,2,1024,131468.0
0,0,1,0,1,128,2,256,46121.0
0,0,0,0,1,64,8,1024,46184.4
1,0,1,0,0,64,8,4096,136884.0
1,0,1,0,1,64,8,256,138369.4
0,1,1,0,0,128,2,4096,46235.8
0,1,1,0,1,256,32,4096,46447.8
0,1,1,1,0,64,8,256,46687.4
1,1,1,1,1,256,32,4096,132021.2
0,0,0,0,1,256,8,256,46100.4
1,0,0,1,1,256,8,4096,134113.2
1,1,1,1,1,256,2,4096,127524.8
0,1,1,0,1,128,2,4096,46615.0
1,1,1,1,1,128,8,256,130828.8
0,0,0,0,0,128,32,4096,46476.2
1,1,1,0,0,128,32,4096,128492.6
1,1,0,1,1,64,2,256,134107.4
1,0,1,0,1,64,32,4096,135629.4
1,0,0,1,1,256,8,4096,134113.2
1,0,0,0,1,256,2,256,133749.0
0,1,0,1,1,256,8,4096,46447.6
1,0,1,0,1,64,8,256,138369.4
0,1,1,0,0,128,2,4096,46235.8
1,1,0,1,0,256,2,256,135862.0
1,1,1,0,0,256,2,4096,131836.0
1,0,1,1,0,64,8,4096,139204.2
1,0,0,1,1,256,2,256,131810.4
0,0,1,0,0,128,8,4096,46163.2
1,1,1,0,1,64,2,1024,132269.2
1,0,0,1,0,64,32,1024,133348.2
0,1,0,0,1,256,32,4096,46104.2
0,1,0,1,0,256,2,1024,46350.2
0,1,1,1,1,64,2,1024,46856.0
0,0,1,0,0,128,8,256,46140.0
1,1,0,1,1,256,2,1024,130103.4
0,1,0,0,1,64,2,256,46143.2
0,1,0,0,0,256,8,1024,46097.6
1,1,0,1,1,256,32,256,132261.2
1,0,0,1,1,64,32,256,134738.8
0,0,0,1,0,64,32,1024,46258.0
0,0,1,1,1,256,2,256,46651.4
0,1,1,0,1,128,8,256,46212.4
0,0,0,0,0,64,2,256,46272.2
0,1,1,0,0,256,8,1024,47095.6
1,1,1,0,1,256,32,256,129297.0
0,0,1,1,0,128,2,1024,46881.4
0,0,1,0,0,64,2,1024,46199.0
0,0,1,1,1,128,8,1024,46669.0
1,1,1,1,1,64,2,256,128684.6
0,1,0,1,0,128,2,256,46584.8
1,0,0,1,1,256,2,4096,134019.0
1,0,1,0,1,128,32,4096,138524.6
0,1,1,0,1,128,8,1024,46188.8
1,1,0,0,0,128,2,256,132604.8
1,0,1,1,1,128,8,1024,139292.8
0,1,1,1,1,128,32,256,46742.0
0,1,0,0,1,128,2,256,47040.2
0,0,0,0,1,64,32,256,46295.4
1,1,0,0,1,128,32,4096,133873.0
0,1,1,1,0,128,2,1024,46400.2
0,1,0,1,1,128,32,256,46423.2
1,0,1,0,1,64,8,256,138369.4
0,1,1,1,1,256,8,256,46778.4
1,0,0,1,1,256,32,256,135542.6
1,0,0,1,1,128,32,4096,132487.4
0,0,0,1,1,256,8,1024,46307.6
0,1,1,1,0,64,32,1024,46801.8
0,0,1,0,1,128,2,256,46121.0
0,0,0,1,1,64,32,256,46427.2
1,1,1,1,0,256,2,4096,127337.6
0,1,1,0,1,256,8,4096,46207.2
1,1,0,0,0,256,8,1024,132666.2
1,0,1,1,0,128,32,1024,138660.8
1,0,1,1,1,256,2,4096,140433.0
0,0,0,1,1,256,32,256,47443.6
1,0,0,0,1,64,8,256,133634.4
0,0,1,0,0,64,2,256,46097.4
0,0,0,1,0,64,2,256,46461.6
0,0,0,1,1,256,2,256,46438.2
1,1,1,0,1,128,8,4096,130528.6
0,1,0,0,0,64,8,4096,46264.8
1,1,1,1,0,64,2,1024,125822.2
0,1,1,1,0,256,32,4096,46451.4
0,0,1,1,1,64,2,4096,46572.8
0,0,1,0,0,64,8,1024,46291.6
0,1,1,1,0,128,8,1024,46551.0
1,0,1,1,1,256,32,1024,139302.2
0,0,0,1,1,256,2,256,46438.2
0,1,1,1,0,64,2,4096,46404.4
1,0,1,1,1,64,32,4096,138867.0
