WindowSize,CompressionLevel,Performance
10,6,3.386
23,11,315.238
20,11,246.08
13,9,6.862
12,1,1.542
10,6,3.386
13,9,6.862
15,4,2.834
16,2,2.026
11,11,343.996
14,6,4.874
21,5,7.272
15,6,5.306
11,2,1.998
12,6,3.846
21,2,2.06
23,4,2.726
22,11,259.594
22,8,25.432
20,9,17.4
22,11,259.594
19,6,9.336
16,7,6.998
20,7,12.338
19,1,1.604
13,7,5.554
22,10,256.21
10,4,3.02
11,7,5.078
13,6,4.3
16,0,1.59
20,11,246.08
24,4,2.708
19,3,2.552
19,0,1.614
19,5,7.372
14,6,4.874
10,4,3.02
13,4,2.972
15,7,6.39
17,5,5.886
21,5,7.272
24,9,108.602
11,11,343.996
23,9,63.68
13,8,5.62
21,0,1.604
11,1,1.526
20,10,246.512
10,2,2.146
15,0,1.534
19,2,2.1
21,9,23.614
12,9,6.47
24,6,10.176
12,7,5.266
20,2,2.088
21,8,18.874
20,6,10.658
19,9,14.048
22,5,7.198
11,6,3.57
22,7,19.626
21,4,2.768
23,4,2.726
24,5,7.154
17,11,307.42
11,6,3.57
24,5,7.154
10,2,2.146
18,4,2.824
21,1,1.598
11,6,3.57
15,2,1.972
16,8,7.548
12,5,3.746
11,0,1.526
21,7,15.806
24,10,392.744
16,10,285.0
11,2,1.998
11,4,3.04
22,6,10.266
20,0,1.63
16,4,2.77
14,8,6.086
10,2,2.146
22,1,1.586
20,2,2.088
11,3,2.476
23,1,1.572
18,8,9.684
15,4,2.834
10,6,3.386
20,11,246.08
11,1,1.526
22,10,256.21
22,10,256.21
20,5,7.45
15,9,8.084
