new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,Performance
4,3,1,1,0,0,1,1,0,0,50.38
1,1,1,1,0,0,1,0,1,0,81.742
3,2,1,1,0,0,0,0,0,0,43.18
3,3,3,0,0,1,1,1,1,1,61.614
3,1,3,0,1,1,0,1,0,1,33.352
3,3,1,1,0,0,1,1,0,0,71.584
2,1,2,1,1,0,1,1,0,0,45.83
4,2,3,1,0,1,1,1,1,0,32.054
2,1,2,1,1,1,1,1,1,1,46.128
1,3,1,1,0,0,0,1,1,0,147.628
2,1,1,1,0,0,0,0,0,0,42.96
1,3,2,1,0,1,1,1,0,0,185.546
3,3,1,1,0,0,1,0,0,0,66.636
2,1,2,0,1,1,0,0,0,1,45.278
1,1,2,0,0,1,1,1,1,1,95.354
2,1,3,1,0,1,0,1,0,0,46.748
1,1,1,0,1,0,0,1,1,0,92.746
4,1,2,1,0,1,1,0,1,0,23.338
3,1,1,0,1,0,0,1,0,1,33.566
3,3,3,1,0,0,0,0,0,1,58.88
2,1,3,1,1,0,0,0,1,1,42.604
3,1,1,1,1,0,0,0,1,1,28.428
1,2,3,1,0,1,1,0,1,1,113.098
4,1,3,0,0,0,0,1,0,1,25.184
3,2,3,0,0,0,1,1,1,1,46.206
3,3,3,1,1,0,0,1,1,0,52.136
4,3,2,1,0,1,0,1,0,1,47.128
2,3,3,1,1,1,1,0,0,1,92.494
4,3,1,0,0,1,0,1,0,1,49.482
2,2,1,0,0,0,1,0,0,1,69.99
1,2,3,1,0,1,1,0,0,0,125.194
4,1,2,1,1,0,1,1,0,0,23.02
2,1,1,1,0,1,1,1,0,1,47.396
2,2,3,1,0,1,1,0,0,0,67.166
4,1,3,1,0,1,1,1,1,1,24.574
4,1,1,1,1,1,1,1,1,0,23.102
3,3,3,0,1,1,1,1,0,1,74.856
4,1,1,0,1,0,1,1,1,0,25.014
4,3,3,1,1,0,1,0,0,1,47.658
3,2,1,0,0,0,0,1,1,0,42.516
1,1,2,1,0,0,1,0,0,1,82.364
3,2,1,1,0,0,1,0,0,0,47.168
4,2,3,0,1,1,0,1,0,0,36.104
4,3,1,0,0,1,1,0,0,1,50.03
1,2,1,1,0,1,1,0,0,0,123.932
1,3,1,0,0,1,0,0,0,1,166.396
4,2,1,0,1,1,0,0,1,1,29.912
4,2,2,1,0,1,1,0,1,0,30.974
4,2,1,1,0,0,0,1,1,0,30.34
2,3,1,1,1,0,1,1,1,1,84.176
1,1,1,0,1,1,1,0,0,1,85.23
3,2,3,0,0,0,1,1,0,0,54.214
1,3,3,0,1,1,0,1,1,0,152.516
4,3,1,1,0,0,0,1,1,1,39.422
1,1,2,0,0,1,0,0,1,1,86.128
3,1,1,0,1,1,0,0,0,0,30.642
1,3,2,0,0,1,1,1,1,1,165.75
2,3,3,0,0,1,0,1,0,0,96.546
2,3,3,1,0,0,0,1,1,0,77.526
1,3,3,0,1,1,1,0,1,1,156.336
4,3,2,0,0,0,0,1,1,1,41.044
3,1,2,1,0,1,0,0,1,0,30.136
2,3,3,1,0,1,0,1,0,0,91.822
3,2,2,0,0,1,1,0,1,1,43.752
2,2,2,1,0,1,1,0,1,1,59.97
1,3,3,0,0,0,1,0,1,1,157.238
1,2,2,1,1,0,0,0,1,1,103.476
1,1,3,1,1,0,0,0,1,0,79.476
2,1,1,0,0,0,0,1,0,1,49.996
3,2,2,1,0,1,1,0,1,0,41.992
4,1,1,0,0,1,1,1,0,0,25.196
4,1,3,1,1,0,0,0,1,0,23.06
1,2,1,1,0,1,1,1,1,0,118.986
3,3,3,0,1,0,1,1,0,0,74.48
4,2,2,0,0,1,1,0,0,1,36.684
2,1,1,0,0,0,0,0,1,1,45.678
3,1,1,1,1,1,1,0,1,0,29.078
3,3,2,1,0,1,1,1,0,0,71.788
4,2,2,1,1,1,1,1,0,1,36.216
1,2,3,0,0,1,1,1,1,0,124.814
2,1,1,1,1,1,0,1,0,0,46.912
2,1,2,0,1,1,1,0,0,1,45.82
2,2,3,0,0,1,1,0,1,1,62.962
4,2,2,0,1,1,1,1,0,0,38.044
1,2,1,0,0,0,1,1,0,1,141.996
1,1,1,1,1,0,0,0,1,1,78.442
4,2,3,1,0,1,1,0,0,0,35.368
3,2,3,0,0,1,0,0,0,1,46.75
1,3,2,1,1,1,1,0,1,1,150.036
3,1,1,1,1,0,0,0,0,1,28.7
3,3,1,1,0,0,0,1,0,0,63.71
1,3,3,1,0,1,1,1,0,0,185.71
2,3,1,0,1,1,1,0,0,1,95.76
4,3,3,1,0,0,0,1,0,0,46.918
2,2,3,0,0,1,0,1,0,0,71.474
1,2,1,1,1,0,1,1,0,0,131.712
1,1,2,1,0,1,0,1,1,1,88.706
4,3,2,0,1,0,0,0,1,1,39.148
4,3,1,0,1,1,0,1,1,1,40.828
2,2,1,0,0,1,0,0,0,0,65.08
