WindowSize,CompressionLevel,performance
14.0,0.0,1.472
13.0,0.0,1.514
13.0,1.0,1.514
13.0,1.0,1.514
13.0,0.0,1.514
13.0,0.0,1.514
22.0,0.0,1.596
21.0,1.0,1.598
21.0,1.0,1.598
21.0,0.0,1.604
21.0,0.0,1.604
21.0,0.0,1.604
19.0,1.0,1.604
17.0,0.0,1.606
20.0,0.0,1.63
20.0,1.0,1.636
20.0,1.0,1.636
20.0,1.0,1.636
10.0,0.0,1.662
10.0,0.0,1.662
10.0,0.0,1.662
13.0,2.0,1.942
13.0,2.0,1.942
13.0,2.0,1.942
11.0,2.0,1.998
20.0,2.0,2.088
18.0,2.0,2.094
19.0,2.0,2.1
19.0,2.0,2.1
19.0,2.0,2.1
10.0,2.0,2.146
10.0,2.0,2.146
13.0,3.0,2.37
15.0,3.0,2.392
15.0,3.0,2.392
15.0,3.0,2.392
15.0,3.0,2.392
24.0,3.0,2.478
22.0,3.0,2.5
20.0,3.0,2.546
20.0,3.0,2.546
19.0,3.0,2.552
19.0,3.0,2.552
18.0,3.0,2.562
18.0,3.0,2.562
10.0,3.0,2.616
23.0,4.0,2.726
21.0,4.0,2.768
20.0,4.0,2.808
12.0,4.0,3.004
11.0,5.0,3.49
13.0,5.0,4.128
13.0,5.0,4.128
13.0,5.0,4.128
13.0,6.0,4.3
14.0,6.0,4.874
11.0,8.0,5.042
11.0,8.0,5.042
11.0,8.0,5.042
11.0,8.0,5.042
15.0,5.0,5.072
15.0,6.0,5.306
12.0,8.0,5.318
12.0,8.0,5.318
13.0,8.0,5.62
17.0,5.0,5.886
10.0,9.0,6.246
23.0,5.0,7.178
19.0,5.0,7.372
19.0,5.0,7.372
19.0,5.0,7.372
18.0,6.0,7.51
16.0,9.0,9.094
19.0,7.0,10.05
17.0,9.0,10.152
21.0,6.0,10.46
20.0,6.0,10.658
19.0,9.0,14.048
20.0,8.0,14.64
20.0,8.0,14.64
21.0,7.0,15.806
21.0,7.0,15.806
20.0,9.0,17.4
23.0,7.0,20.474
24.0,8.0,38.644
23.0,9.0,63.68
21.0,11.0,244.72
21.0,10.0,244.734
21.0,10.0,244.734
20.0,11.0,246.08
20.0,10.0,246.512
15.0,10.0,291.618
17.0,11.0,307.42
13.0,11.0,315.078
23.0,10.0,318.954
12.0,10.0,328.816
11.0,10.0,343.594
11.0,10.0,343.594
24.0,11.0,394.158
24.0,11.0,394.158
