new_column3,new_column2,new_column,no_8x8dct,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,performance
4.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22.842
4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.874
4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,22.982
4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.06
4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.06
4.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,23.06
4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,23.062
4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,23.096
4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,23.194
4.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,23.242
4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.488
4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,23.624
4.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,23.65
4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,23.66
4.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,23.67
4.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,23.688
4.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,23.776
4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,23.83
4.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,24.85
4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,25.08
4.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,25.104
4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.186
4.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,25.196
4.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,25.382
4.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,25.474
4.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,25.476
4.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.186
4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,30.834
3.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,30.954
4.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,31.034
3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,31.094
3.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,31.29
4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,31.57
4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,31.648
4.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,31.842
3.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,31.986
3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,32.0
4.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,32.054
3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,32.19
3.0,1.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,33.352
4.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,33.394
3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,33.454
3.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,33.76
3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,34.214
4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,34.746
4.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,35.898
4.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,35.906
4.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,36.242
4.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,37.866
3.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,37.938
3.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,39.958
3.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,40.708
4.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,42.734
3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,43.294
4.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,43.446
4.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,44.026
3.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,44.33
2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,45.322
2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,45.634
2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46.038
3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,46.322
2.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,47.076
4.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,47.678
4.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,49.37
3.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,49.814
2.0,1.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,49.914
3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,51.676
2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,54.998
2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,56.402
2.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,58.894
2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,61.282
